split,scenario_id,source_file,scenario_type,window_id,window_size,start_idx,end_idx,start_time_s,end_time_s,label_col,y_true,V_N2_t-23,V_N2_t-22,V_N2_t-21,V_N2_t-20,V_N2_t-19,V_N2_t-18,V_N2_t-17,V_N2_t-16,V_N2_t-15,V_N2_t-14,V_N2_t-13,V_N2_t-12,V_N2_t-11,V_N2_t-10,V_N2_t-9,V_N2_t-8,V_N2_t-7,V_N2_t-6,V_N2_t-5,V_N2_t-4,V_N2_t-3,V_N2_t-2,V_N2_t-1,V_N2_t-0
test,2,data_2.csv,normal,2_0_23,24,0,23,0,13800,leak_binary,0,19.5,19.5,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648
test,2,data_2.csv,normal,2_1_24,24,1,24,600,14400,leak_binary,0,19.5,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0
test,2,data_2.csv,normal,2_2_25,24,2,25,1200,15000,leak_binary,0,19.5,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0
test,2,data_2.csv,normal,2_3_26,24,3,26,1800,15600,leak_binary,0,19.5,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0
test,2,data_2.csv,normal,2_4_27,24,4,27,2400,16200,leak_binary,0,19.5,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,2_5_28,24,5,28,3000,16800,leak_binary,0,19.5,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,2_6_29,24,6,29,3600,17400,leak_binary,0,11.16,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0
test,2,data_2.csv,normal,2_7_30,24,7,30,4200,18000,leak_binary,0,11.16,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527
test,2,data_2.csv,normal,2_8_31,24,8,31,4800,18600,leak_binary,0,11.16,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527
test,2,data_2.csv,normal,2_9_32,24,9,32,5400,19200,leak_binary,0,11.16,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527
